CellType,Color
HPF CR Glut,#6580d2
CEA-AAA-BST Ebf1 Gaba,#693724
CLA-EPd-CTX Car3 Glut,#53a9c1
L6b/CT ENT Glut,#789cd8
CA2-FC-IG Glut,#63bf9f
L2 IT PPP-APr Glut,#5ab9c7
ENTmv-PA-COAp Glut,#486a94
DG Glut,#c49cd4
DGNBL Glut,#b36db3
OT D3 Folh1 Gaba,#71482a
LA-BLA-BMA-PA Glut,#4a456a
Peri NN,#db9133
L5 NP CTX Glut,#363b71
SI-MA-LPO-LHA Skor1 Glut,#5ebaa3
Sst Gaba,#da9b7b
Sst Chodl Gaba,#de492a
L2/3 IT ENT Glut,#753bd8
L4/5 IT CTX Glut,#5c88bf
PAG-MRN Pou3f1 Glut,#5bad90
L2/3 IT PPP Glut,#40386a
Microglia NN,#c1a237
L5 IT CTX Glut,#6374db
Vip/Sncg Gaba,#d64c80
MOB-STR-CTX Inh IMN,#675829
Endo NN,#a5af71
Pvalb chandelier Gaba,#e26b2c
L2/3 IT CTX Glut,#9696d6
Pvalb Gaba,#e04633
SUB-ProS Glut,#5dbd72
IT EP-CLA Glut,#51279d
VLMC NN,#665829
STR D2 Gaba,#d2889b
MB-MY Glut-Sero,#a35626
LDT-PCG Gata3 Irx5 Gaba,#c979db
Lamp5 Gaba,#d63e8e
CHOR NN,#caac41
STR D1 Gaba,#a55b29
NP SUB Glut,#3a4881
NDB-SI-MA-STRv Lhx8 Gaba,#6f2d2d
SNc-VTA-RAmb Foxa1 Dopa,#d7852d
L6 IT CTX Glut,#4c4185
CA3 Glut,#3d768e
Oligo NN,#7e7f39
OPC NN,#c0ae3a
L5 ET CTX Glut,#5baec8
L6 CT CTX Glut,#a0a1d9
ABC NN,#8fab6e
STR-PAL Chst9 Gaba,#d73e5c
CA1-ProS Glut,#5a83dc
L2/3 IT ENTl-PIR Glut,#443773
CEA Gaba,#CF4959
Astro NN,#9F8A36
MEA-COA Glut,#5869A3
MEA Gaba,#872C34
MEA-COAp Glut,#6f3bd9
PAG-PCG,#95bca6
PAG Glut,#4AA8BB
STR Gaba,#D74D33
