,0
DG_Glut,0.7441860465116279
CA1-ProS_Glut,0.8233333333333333
OPC_NN,0.8349358974358975
L23_IT_CTX_Glut,0.835958904109589
Astro-NT_NN,0.8503205128205128
VLMC_NN,0.875574712643678
MEA-COA_Glut,0.881043956043956
Astro-TE_NN,0.8813953488372093
L6_CT_CTX_Glut,0.8974999999999999
L23_IT_PPP_Glut,0.9138888888888889
L45_IT_CTX_Glut,0.9170138888888888
STR-PAL_Chst9_Gaba,0.9239726027397261
Pvalb_Gaba,0.9278089887640449
L6bCT_ENT_Glut,0.9278645833333334
L6_IT_CTX_Glut,0.9292682926829269
STR_D1_Gaba,0.9322368421052633
Microglia_NN,0.9330357142857143
STR_D2_Gaba,0.9344512195121951
Oligo_NN,0.9378205128205128
CEA-BST_Gaba,0.9523026315789473
CA3_Glut,0.9616071428571428
Sst_Gaba,0.9639175257731959
MEA-BST_Gaba,0.9702898550724639
